pos_current: [116.38522966077426, 39.90446074875733, 0], speed: 17.85, wheel_angle: -5.399999999999999, steering_wheel_angle: -54
pos_current: [116.38522624127074, 39.90446079386839, 0], speed: 17.81, wheel_angle: -6.5, steering_wheel_angle: -65
pos_current: [116.38522282952387, 39.904460845759715, 0], speed: 17.77, wheel_angle: -7.5, steering_wheel_angle: -75
pos_current: [116.3852194236439, 39.90446090586929, 0], speed: 17.74, wheel_angle: -8.7, steering_wheel_angle: -87
pos_current: [116.38521601786707, 39.90446097301386, 0], speed: 17.74, wheel_angle: -9.7, steering_wheel_angle: -97
pos_current: [116.38521261595072, 39.90446104141581, 0], speed: 17.72, wheel_angle: -9.899999999999999, steering_wheel_angle: -99
pos_current: [116.38520921403438, 39.90446110981775, 0], speed: 17.72, wheel_angle: -9.899999999999999, steering_wheel_angle: -99
pos_current: [116.38520581009347, 39.90446117126188, 0], speed: 17.73, wheel_angle: -8.899999999999999, steering_wheel_angle: -89
pos_current: [116.38520240410539, 39.90446122297815, 0], speed: 17.74, wheel_angle: -7.5, steering_wheel_angle: -75
pos_current: [116.38519899226662, 39.90446126649371, 0], speed: 17.77, wheel_angle: -6.300000000000001, steering_wheel_angle: -63
pos_current: [116.38519556880621, 39.90446129842199, 0], speed: 17.83, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.38519213377259, 39.90446132215723, 0], speed: 17.89, wheel_angle: -3.3999999999999986, steering_wheel_angle: -34
pos_current: [116.385188689118, 39.904461341805934, 0], speed: 17.94, wheel_angle: -2.799999999999997, steering_wheel_angle: -28
pos_current: [116.38518524445446, 39.904461359346605, 0], speed: 17.94, wheel_angle: -2.5, steering_wheel_angle: -25
pos_current: [116.38518179976849, 39.904461369866766, 0], speed: 17.94, wheel_angle: -1.5, steering_wheel_angle: -15
pos_current: [116.38517836467724, 39.90446137753781, 0], speed: 17.89, wheel_angle: -1.1000000000000014, steering_wheel_angle: -11
pos_current: [116.38517494302283, 39.9044613823809, 0], speed: 17.82, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
